train_acc,train_loss,val_acc,val_loss
0.04684210526315789,4.193018,0.06520000000000001,4.096581
0.09892631578947371,3.8085535,0.1184,3.701745
0.1566105263157895,3.4901373,0.16800000000000004,3.390843
0.21176842105263158,3.176903,0.23919999999999997,3.0650523
0.26296842105263163,2.916536,0.2564,2.966686
0.2982105263157895,2.72335,0.2932,2.737396
0.3295157894736842,2.5692444,0.3396,2.5375884
0.35772631578947367,2.4349945,0.3652,2.4113715
0.38227368421052627,2.3252277,0.3796,2.373209
0.4036,2.227355,0.37999999999999995,2.3190944
0.4204,2.136931,0.4068,2.2488067
0.43732631578947373,2.0627282,0.40159999999999996,2.2949712
0.4557473684210527,1.9913386,0.4228,2.1510842
0.4719368421052632,1.9126295,0.43,2.1428912
0.4844210526315789,1.8617039,0.42680000000000007,2.1597114
0.49612631578947375,1.8078685,0.4636,2.0140631
0.5090105263157895,1.7603725,0.494,1.8993019
0.5211578947368422,1.7069187,0.4788,1.9292172
0.5343578947368421,1.6625971,0.4604,2.0064478
0.5412631578947369,1.625248,0.484,1.8862603
0.550842105263158,1.5872107,0.48960000000000004,1.9149923
0.5580631578947369,1.5567665,0.5032,1.8229517
0.5648842105263159,1.5196022,0.49079999999999996,1.9615325
0.5723368421052631,1.5008556,0.5272,1.7850436
0.5815157894736843,1.4672319,0.528,1.7638466
0.5860842105263158,1.4357175,0.5156000000000001,1.8434192
0.5913473684210526,1.4171546,0.5036,1.8416601
0.5997894736842104,1.3899953,0.5308,1.8065767
0.6028631578947369,1.3691733,0.5388000000000001,1.7540268
0.6096631578947369,1.3512132,0.5252,1.7687597
0.6159999999999999,1.3194593,0.5431999999999999,1.7319146
0.620378947368421,1.3014133,0.54,1.7286007
0.625621052631579,1.2867788,0.5432,1.7545034
0.6312421052631578,1.2618331,0.5508,1.6982478
0.6350105263157895,1.2458433,0.546,1.7288666
0.6378947368421053,1.2250627,0.5516,1.7462763
0.6457052631578948,1.2039574,0.5640000000000001,1.6565062
0.6474526315789473,1.1953812,0.5628,1.7112322
0.6548421052631578,1.1697409,0.5536,1.7293789
0.6583578947368421,1.1560419,0.5636000000000001,1.6725786
0.6621263157894737,1.1425543,0.5528,1.7495666
0.6655578947368421,1.1209997,0.548,1.8388684
0.6677684210526316,1.1122099,0.5611999999999999,1.7049638
0.6743157894736842,1.0919621,0.5780000000000001,1.6760399
0.6789052631578948,1.0740246,0.5804,1.6544886
0.6833684210526315,1.0608462,0.5736,1.7212955
0.6861684210526314,1.0474007,0.5652,1.6811131
0.6867789473684212,1.0344529,0.5692,1.6863841
0.6918526315789474,1.0210012,0.58,1.6485732
0.6957684210526316,1.0064332,0.5756,1.690092
0.7004,0.9892373,0.568,1.8146675
0.7043157894736842,0.97681355,0.5803999999999999,1.6988151
0.7051789473684209,0.9677682,0.5711999999999999,1.717593
0.7133684210526315,0.94034964,0.5752,1.7154939
0.7178105263157896,0.9385831,0.5784,1.7048237
0.7165052631578946,0.93223274,0.5836,1.6666689
0.7229684210526315,0.91228926,0.5888,1.6616561
0.7234947368421053,0.89639175,0.5692,1.7067381
0.7276631578947368,0.8871047,0.5876,1.7581908
0.7288,0.87613386,0.5716,1.7534308
0.7355157894736841,0.86541396,0.5896,1.7159795
0.7382947368421051,0.84894043,0.5844,1.7580692
0.7425684210526315,0.8400919,0.592,1.7114768
0.7470736842105263,0.8229328,0.584,1.783961
0.7484000000000001,0.8164166,0.5884,1.7782971
0.7506105263157895,0.8073228,0.5855999999999999,1.7406296
0.7506315789473683,0.7956552,0.5932000000000001,1.7603467
0.757242105263158,0.7845091,0.5964,1.7602512
0.7554315789473685,0.7790786,0.5963999999999999,1.769487
0.760821052631579,0.7636017,0.5988,1.7458001
0.7652631578947369,0.7537144,0.5964,1.7456787
0.7689684210526315,0.7446109,0.5895999999999999,1.7609094
0.770357894736842,0.74241036,0.5956,1.78588
0.7714947368421052,0.7290102,0.5908,1.7871945
0.7739578947368421,0.7224535,0.5976,1.7916384
0.776021052631579,0.71968603,0.5964,1.7734855
0.7781263157894736,0.71057326,0.5996,1.7685405
0.7833263157894736,0.69737154,0.5943999999999999,1.7947476
0.7813052631578947,0.6932868,0.5955999999999999,1.7873341
0.7845684210526315,0.69083416,0.5932000000000001,1.8001649
0.7870736842105264,0.6785884,0.5948,1.8158954
0.7878105263157895,0.6789434,0.5916,1.8159255
0.7901263157894737,0.67041516,0.5952000000000001,1.787518
0.7903157894736842,0.66820914,0.5976,1.8126074
0.7942526315789474,0.6565979,0.5923999999999999,1.811857
0.7950526315789473,0.6530762,0.5956,1.808173
0.796442105263158,0.6490259,0.596,1.8312892
0.7977473684210525,0.65173984,0.5952000000000001,1.8292278
0.7986947368421052,0.64336103,0.5988000000000001,1.8231409
0.8008,0.63512164,0.6,1.8182825
0.7999789473684211,0.63591594,0.5984,1.8241587
0.801221052631579,0.62918776,0.6004,1.8275745
0.7991157894736842,0.6373661,0.5948,1.8371617
0.8023789473684211,0.63077885,0.6004,1.824004
0.8029684210526316,0.63141745,0.6036,1.8271103
0.8024210526315789,0.62833357,0.6028,1.8263412
0.8010947368421052,0.62902606,0.5976,1.8348497
0.8044000000000001,0.6231051,0.5992000000000001,1.8338974
0.8004842105263158,0.62913436,0.5988,1.8514779
0.8027157894736842,0.62891096,0.5972,1.8323749
